MARKET,TYPE,BRAND,MODEL,Sage Code,DESCRIPTION,SAMSUNG CODE,Color / SIM
WHOLE SALE,MOBILE,SAM Lat,S942 (S26 ) 12+512GB DS 5G,S942-SM-BL512GT,SM-S942BLBUGTO (S26) 12+512GB SKY BLUE DS LATIN GTO,SM-S942BLBUGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S942 (S26 ) 12+256GB DS 5G,S942-SM-WT256GT,SM-S942BZWKGTO (S26) 12+256GB WHITE DS LATIN GTO,SM-S942BZWKGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,S942 (S26 ) 12+512GB DS 5G,S942-SM-WT512GT,SM-S942BZWUGTO (S26) 12+512GB WHITE DS LATIN GTO,SM-S942BZWUGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+256GB DS 5G,S947-SM-BK256GT,SM-S947BZKJGTO (S26 +) 12+256GB BLACK DS LATIN GTO,SM-S947BZKJGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+512GB DS 5G,S947-SM-BK512GT,SM-S947BZKKGTO (S26 +) 12+512GB BLACK DS LATIN GTO,SM-S947BZKKGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+256GB DS 5G,S947-SM-VL256GT,SM-S947BZVJGTO (S26 +) 12+256GB COBALT VIOLET DS LATIN GTO,SM-S947BZVJGTO,COBALT VIOLET
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+512GB DS 5G,S947-SM-VL512GT,SM-S947BZVKGTO (S26 +) 12+512GB COBALT VIOLET DS LATIN GTO,SM-S947BZVKGTO,COBALT VIOLET
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+256GB DS 5G,S947-SM-BL256GT,SM-S947BLBJGTO (S26 +) 12+256GB SKY BLUE DS LATIN GTO,SM-S947BLBJGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+512GB DS 5G,S947-SM-BL512GT,SM-S947BLBKGTO (S26 +) 12+512GB SKY BLUE DS LATIN GTO,SM-S947BLBKGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+256GB DS 5G,S947-SM-WT256GT,SM-S947BZWJGTO (S26 +) 12+256GB WHITE DS LATIN GTO,SM-S947BZWJGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,S947 (S26+ ) 12+512GB DS 5G,S947-SM-WT512GT,SM-S947BZWKGTO (S26 +) 12+512GB WHITE DS LATIN GTO,SM-S947BZWKGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+256GB DS 5G,S948-SM-BK256GT,SM-S948BZKJGTO (S26 Ultra) 12+256GB TITANIUM BLACK DS LATIN GTO,SM-S948BZKJGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+512GB DS 5G,S948-SM-BK512GT,SM-S948BZKKGTO (S26 Ultra) 12+512GB TITANIUM BLACK DS LATIN GTO,SM-S948BZKKGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 16+1TB DS 5G,S948-SM-BK1TBGT,SM-S948BZKUGTO (S26 Ultra) 16+1TB TITANIUM BLACK DS LATIN GTO,SM-S948BZKUGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+256GB DS 5G,S948-SM-VL256GT,SM-S948BZVJGTO (S26 Ultra) 12+256GB COBALT VIOLET DS LATIN GTO,SM-S948BZVJGTO,COBALT VIOLET
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+512GB DS 5G,S948-SM-VL512GT,SM-S948BZVKGTO (S26 Ultra) 12+512GB COBALT VIOLET DS LATIN GTO,SM-S948BZVKGTO,COBALT VIOLET
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 16+1TB DS 5G,S948-SM-VL1TBGT,SM-S948BZVUGTO (S26 Ultra) 16+1TB COBALT VIOLET DS LATIN GTO,SM-S948BZVUGTO,COBALT VIOLET
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+256GB DS 5G,S948-SM-BL256GT,SM-S948BLBJGTO (S26 Ultra) 12+256GB SKY BLUE DS LATIN GTO,SM-S948BLBJGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+512GB DS 5G,S948-SM-BL512GT,SM-S948BLBKGTO (S26 Ultra) 12+512GB SKY BLUE DS LATIN GTO,SM-S948BLBKGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 16+1TB DS 5G,S948-SM-BL1TBGT,SM-S948BLBUGTO (S26 Ultra) 16+1TB SKY BLUE DS LATIN GTO,SM-S948BLBUGTO,SKY BLUE
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+256GB DS 5G,S948-SM-WT256GT,SM-S948BZWJGTO (S26 Ultra) 12+256GB WHITE DS LATIN GTO,SM-S948BZWJGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,S948 (S26 Ultra ) 12+512GB DS 5G,S948-SM-WT512GT,SM-S948BZWKGTO (S26 Ultra) 12+512GB WHITE DS LATIN GTO,SM-S948BZWKGTO,WHITE
ACCESSORY,ACCESSORY,SAM Lat,Galaxy BUDS 4 PRO R640,R640-S-BUD4P-WT,SM-R640NZWALTA Galaxy BUDS 4 PRO White,SM-R640NZWALTA,WHITE
ACCESSORY,ACCESSORY,SAM Lat,Galaxy BUDS 4 PRO R640,R640-S-BUD4P-BK,SM-R640NZKALTA  Galaxy Buds 4 Pro Black,SM-R640NZKALTA,BLACK
ACCESSORY,ACCESSORY,SAM Lat,Galaxy Buds 4 R540,R540-SM-BUDS4BK,SM-R540NZKALTA Galaxy Buds 4 Black,SM-R540NZKALTA,BLACK
WHOLE SALE,TABLET,SAM Lat,TAB X133 (Galaxy Tab A11) WIFI 4+64GB,SM-X133NZAAL15,SM-X133NZAAL15 (Galaxy Tab A11) WIFI 4+64GB Gray LATIN,SM-X133NZAAL15,GRAY
WHOLE SALE,MOBILE,SAM Lat,A175 (Galaxy A17) 8+256GB,A175-SM-BL256GT,SM-A175FLBHGTO (Galaxy A17) LIGHT BLUE 8+256GB DS LATIN GTO,SM-A175FLBHGTO,Blue
WHOLE SALE,MOBILE,SAM Lat,A175 (Galaxy A17) 8+256GB,A175-SM-BK256GT,SM-A175FZKHGTO (Galaxy A17) BLACK 8+256GB DS LATIN GTO,SM-A175FZKHGTO,Black
WHOLE SALE,MOBILE,SAM Lat,S936 (S25+) 12+512GB,S936-SM-BL512DL,SM-S936BLBKTPA (S25+) 12+512GB ICYBLUE DS LATIN,SM-S936BLBKTPA,ICEBLUE
WHOLE SALE,TABLET,SAM Lat,TAB X135 (Galaxy Tab A11) LTE 4+64GB,SM-X135GZAAL15,SM-X135GZAAL15 (Galaxy Tab A11 LTE ) 4+64GB Gray LATIN,SM-X135GZAAL15,Gray
WHOLE SALE,TABLET,SAM Lat,TAB X520 (Galaxy Tab S10 FE) WIFI 12+256GB,X520-SM-BL256WF,SM-X520NLBETPA (Galaxy Tab S10FE) WIFI 12+256GB Light Blue LATIN,SM-X520NLBETPA,Light Blue
ACCESSORY,ACCESSORY,SAM Lat,Galaxy Buds 4 R540,R540-SM-BUDS4WT,SM-R540NZWALTA Buds 4 White,SM-R540NZWALTA,White
WHOLE SALE,MOBILE,SAM Lat,A566 (Galaxy A56 5G) 12+256GB DS,A566-SM-GN256GT,SM-A566EZGDGTO (Galaxy A56 5G) Green 12+256GB DS LATIN GTO,SM-A566EZGDGTO,Green
WHOLE SALE,MOBILE,SAM Lat,A075 (Galaxy A07) 4+64GB,SM-A075MZKDGTO,SM-A075MZKDGTO (Galaxy A07) BLACK 4+64GB DS LATIN GTO,SM-A075MZKDGTO,BLACK
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 6+128GB DS,A376-SM-GR128GT,SM-A376BZAJGTO (Galaxy A37 5G) Gray 6+128GB DS LATIN GTO,SM-A376BZAJGTO,GRAY
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 6+128GB DS,A376-SM-VL128GT,SM-A376BLVJGTO (Galaxy A37 5G) LIGHT VIOLET  6+128GB DS LATIN GTO,SM-A376BLVJGTO,LIGHT VIOLET
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 6+128GB DS,A376-SM-WT128GT,SM-A376BZWJGTO (Galaxy A37 5G) WHITE 6+128GB DS LATIN GTO,SM-A376BZWJGTO,WHITE
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 6+128GB DS,A376-SM-GN128GT,SM-A376BDGJGTO (Galaxy A37 5G) Dark Green 6+128GB DS LATIN GTO,SM-A376BDGJGTO,DARK GREEN
WHOLE SALE,MOBILE,SAM Lat,A376 (Galaxy A37 5G) 8+256GB DS,A376-SM-GN256GT,SM-A376BDGKGTO (Galaxy A37 5G) DARK GREEN 8+256GB DS LATIN GTO,SM-A376BDGKGTO,DARK GREEN
